commit	val_loss	val_bpt	comp_ratio	num_params	runtime_s	steps_per_sec	status	description
69f6b7a	5.180578	7.473994	1.337973	9,200,000	300.0	7.00	keep	baseline
5f039b9	5.037382	7.267406	1.376007	9,200,000	300.0	7.00	keep	9M-DDP: 6 layers, 8 heads, 256 embd, 64 token_embd, 2x GPUs
discard	5.053121	7.290113	1.371721	9,200,000	300.0	7.00	discard	Swap GELU MLP with SwiGLU MLP
discard	5.944676	8.576355	1.165996	9,200,000	300.0	7.00	discard	Increase context length to 64 frames
c5b8b27	4.768760	6.879867	1.453517	9,971,840	300.0	7.00	keep	DDP-9M-FP16: autotuned mixed precision, 2x GPUs
discard	5.003696	7.218807	1.385270	9,971,840	300.0	7.00	discard	Cosine LR scheduler with warmup
discard	5.068116	7.311746	1.367662	9,971,840	300.0	7.00	discard	Replace LayerNorm with RMSNorm
discard	5.362741	7.736799	1.292524	9,971,840	300.0	7.00	discard	Double batch size to 128 and scale LR to 1.2e-3
a11c00f	4.745645	6.846519	1.460596	9,971,840	300.0	7.00	keep	Implement Rotary Positional Embeddings (RoPE)
discard	6.046900	8.723833	1.146285	9,971,840	300.0	7.00	discard	Implement Grouped-Query Attention (GQA) with 2 KV heads
discard	4.746261	6.847408	1.460407	9,971,840	300.0	7.00	discard	Implement residual scaling by 1/sqrt(2*n_layer)
7f4cb13	4.733081	6.828392	1.464474	9,971,840	300.0	7.00	keep	Reduce N_HEAD from 8 to 4 (increase head dim to 64)
discard	4.743196	6.842985	1.461351	9,971,840	300.0	7.00	discard	Increase N_LAYER from 6 to 7
discard	4.829860	6.968015	1.435129	9,971,840	300.0	7.00	discard	Tune LEARNING_RATE to 6e-4
216941f	4.096462	5.909945	1.692063	9,971,840	300.0	7.00	keep	Implement Alternating Weight Sharing (AWS) with N_EMBD=384, N_HEAD=6
discard	6.201259	8.946525	1.117752	9,971,840	300.0	7.00	discard	AWS: Increase repeated layers from 6 to 10
discard	6.570321	9.478970	1.054967	9,971,840	300.0	7.00	discard	Implement Single Shared Block (SSB) with N_EMBD=448, N_HEAD=7, N_LAYER=8
6028a33	3.825794	5.519454	1.811773	9,971,840	300.0	7.00	keep	Tune AdamW betas to (0.9, 0.95)
